LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
South Tyneside,E08000023,South Tyneside,4,1,1,2,2,4,2,2,2,2,148671,22,South_Tyneside,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=South_Tyneside&r1d1=d14&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d14",118,59,147,149,120,93,59,118,106,94,108
Sunderland,E08000024,Sunderland,4,1,1,1,1,2,2,3,2,1,277150,18,Sunderland,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sunderland&r1d1=d14&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d72&r1d8=d83&r1d9=d92&r1d10=d101&r1d11=d14",135,55,143,138,124,123,108,110,91,112,150
Blackburn with Darwen,E06000008,Blackburn with Darwen,2,1,2,1,1,3,2,3,1,2,146846,18,Blackburn_with_Darwen,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Blackburn_with_Darwen&r1d1=d12&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d72&r1d8=d83&r1d9=d91&r1d10=d102&r1d11=d12",135,122,137,99,126,130,69,112,77,139,96
Blackpool,E06000009,Blackpool,1,1,1,1,1,5,1,2,1,4,139578,18,Blackpool,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Blackpool&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d65&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d104&r1d11=d11",135,136,152,151,149,125,19,123,121,150,49
Cheshire East,E06000049,Cheshire East,5,4,4,4,2,5,5,5,5,5,375392,44,Cheshire_East,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cheshire_East&r1d1=d15&r1d2=d24&r1d3=d34&r1d4=d44&r1d5=d52&r1d6=d65&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d105&r1d11=d15",8,28,45,42,31,108,22,14,4,10,2
Cheshire West and Chester,E06000050,Cheshire West and Chester,4,4,4,4,2,3,4,3,5,5,333917,38,Cheshire_West_and_Chester,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cheshire_West_and_Chester&r1d1=d14&r1d2=d24&r1d3=d34&r1d4=d44&r1d5=d52&r1d6=d63&r1d7=d74&r1d8=d83&r1d9=d95&r1d10=d105&r1d11=d14",29,43,60,59,32,107,64,39,82,23,24
Halton,E06000006,Halton,5,1,3,1,1,2,2,3,1,1,126528,20,Halton,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Halton&r1d1=d15&r1d2=d21&r1d3=d33&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d72&r1d8=d83&r1d9=d91&r1d10=d101&r1d11=d15",133,12,136,83,127,145,92,106,89,129,129
Warrington,E06000007,Warrington,3,4,5,5,1,5,4,3,4,2,207695,36,Warrington,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Warrington&r1d1=d13&r1d2=d24&r1d3=d35&r1d4=d45&r1d5=d51&r1d6=d65&r1d7=d74&r1d8=d83&r1d9=d94&r1d10=d102&r1d11=d13",39,83,55,28,28,142,16,33,66,48,97
Cumbria,E10000006,Cumbria,3,3,3,3,3,1,4,4,4,4,497996,32,Cumbria,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cumbria&r1d1=d13&r1d2=d23&r1d3=d33&r1d4=d43&r1d5=d53&r1d6=d61&r1d7=d74&r1d8=d84&r1d9=d94&r1d10=d104&r1d11=d13",57,72,87,68,87,79,149,41,32,58,44
Bolton,E08000001,Bolton,2,2,3,2,1,4,2,2,2,2,281619,22,Bolton,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bolton&r1d1=d12&r1d2=d22&r1d3=d33&r1d4=d42&r1d5=d51&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d12",118,121,116,89,103,143,57,102,99,102,106
Bury,E08000002,Bury,2,3,4,4,2,5,4,2,2,1,187884,29,Bury,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bury&r1d1=d12&r1d2=d23&r1d3=d34&r1d4=d44&r1d5=d52&r1d6=d65&r1d7=d74&r1d8=d82&r1d9=d92&r1d10=d101&r1d11=d12",73,107,85,57,59,119,17,54,107,105,128
Manchester,E08000003,Manchester,1,2,1,1,3,3,1,1,1,1,530292,15,Manchester,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Manchester&r1d1=d11&r1d2=d22&r1d3=d31&r1d4=d41&r1d5=d53&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d11",149,135,100,140,137,91,83,148,147,151,139
Oldham,E08000004,Oldham,3,1,2,2,1,4,2,1,1,1,230823,18,Oldham,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Oldham&r1d1=d13&r1d2=d21&r1d3=d32&r1d4=d42&r1d5=d51&r1d6=d64&r1d7=d72&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d13",135,88,124,92,110,148,53,107,140,134,132
Rochdale,E08000005,Rochdale,1,1,1,2,2,4,2,2,1,1,214195,17,Rochdale,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Rochdale&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d11",144,134,135,133,102,113,52,116,112,133,145
Salford,E08000006,Salford,3,1,2,1,1,4,2,1,1,1,245614,17,Salford,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Salford&r1d1=d13&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d64&r1d7=d72&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d13",144,70,123,108,151,132,44,114,130,123,147
Stockport,E08000007,Stockport,5,3,4,3,2,5,4,3,4,4,288733,37,Stockport,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Stockport&r1d1=d15&r1d2=d23&r1d3=d34&r1d4=d43&r1d5=d52&r1d6=d65&r1d7=d74&r1d8=d83&r1d9=d94&r1d10=d104&r1d11=d15",32,18,75,54,77,116,1,51,84,45,54
Tameside,E08000008,Tameside,3,1,2,4,1,5,2,2,1,1,221692,22,Tameside,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Tameside&r1d1=d13&r1d2=d21&r1d3=d32&r1d4=d44&r1d5=d51&r1d6=d65&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d13",118,63,129,103,53,144,9,99,116,147,141
Trafford,E08000009,Trafford,3,5,5,5,2,5,4,5,4,4,233288,42,Trafford,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Trafford&r1d1=d13&r1d2=d25&r1d3=d35&r1d4=d45&r1d5=d52&r1d6=d65&r1d7=d74&r1d8=d85&r1d9=d94&r1d10=d104&r1d11=d13",17,68,29,9,18,104,6,61,11,51,37
Wigan,E08000010,Wigan,3,2,3,3,1,4,3,5,1,1,322022,26,Wigan,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Wigan&r1d1=d13&r1d2=d22&r1d3=d33&r1d4=d43&r1d5=d51&r1d6=d64&r1d7=d73&r1d8=d85&r1d9=d91&r1d10=d101&r1d11=d13",94,69,112,70,83,146,36,69,24,130,133
Lancashire,E10000017,Lancashire,2,3,3,2,1,1,4,2,3,3,1191691,24,Lancashire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Lancashire&r1d1=d12&r1d2=d23&r1d3=d33&r1d4=d42&r1d5=d51&r1d6=d61&r1d7=d74&r1d8=d82&r1d9=d93&r1d10=d103&r1d11=d12",111,97,90,72,96,124,132,58,104,83,67
Knowsley,E08000011,Knowsley,2,1,3,1,3,2,1,1,2,2,147231,18,Knowsley,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Knowsley&r1d1=d12&r1d2=d21&r1d3=d33&r1d4=d41&r1d5=d53&r1d6=d62&r1d7=d71&r1d8=d81&r1d9=d92&r1d10=d102&r1d11=d12",135,118,151,87,152,68,94,140,131,111,105
Liverpool,E08000012,Liverpool,5,1,1,1,2,2,1,1,2,2,478580,18,Liverpool,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Liverpool&r1d1=d15&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d62&r1d7=d71&r1d8=d81&r1d9=d92&r1d10=d102&r1d11=d15",135,4,141,123,146,103,99,143,143,121,118
Sefton,E08000014,Sefton,3,2,4,2,1,3,3,2,2,3,273707,25,Sefton,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sefton&r1d1=d13&r1d2=d22&r1d3=d34&r1d4=d42&r1d5=d51&r1d6=d63&r1d7=d73&r1d8=d82&r1d9=d92&r1d10=d103&r1d11=d13",101,73,119,51,105,147,67,72,114,95,89
St. Helens,E08000013,St. Helens,2,1,2,1,1,3,2,1,2,2,177612,17,St_Helens,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=St_Helens&r1d1=d12&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d72&r1d8=d81&r1d9=d92&r1d10=d102&r1d11=d12",144,95,133,96,138,137,89,100,127,109,110
Wirral,E08000015,Wirral,5,1,4,3,1,3,2,2,3,3,320900,27,Wirral,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Wirral&r1d1=d15&r1d2=d21&r1d3=d34&r1d4=d43&r1d5=d51&r1d6=d63&r1d7=d72&r1d8=d82&r1d9=d93&r1d10=d103&r1d11=d15",84,2,125,44,89,127,63,92,110,77,70
East Riding of Yorkshire,E06000011,East Riding of Yorkshire,3,3,5,4,4,5,5,5,4,5,336685,43,East_Riding_of_Yorkshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=East_Riding_of_Yorkshire&r1d1=d13&r1d2=d23&r1d3=d35&r1d4=d44&r1d5=d54&r1d6=d65&r1d7=d75&r1d8=d85&r1d9=d94&r1d10=d105&r1d11=d13",12,82,68,11,50,34,5,22,10,57,30
"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",1,1,1,1,1,5,1,1,1,2,258995,15,Kingston_upon_Hull,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Kingston_upon_Hull&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d65&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d102&r1d11=d11",149,130,148,150,142,138,14,133,136,136,119
North East Lincolnshire,E06000012,North East Lincolnshire,1,1,1,1,1,2,2,4,2,2,159570,17,North_East_Lincolnshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_East_Lincolnshire&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d72&r1d8=d84&r1d9=d92&r1d10=d102&r1d11=d11",144,125,134,145,148,149,115,113,55,118,113
North Lincolnshire,E06000013,North Lincolnshire,4,2,3,3,1,1,3,3,3,4,169820,27,North_Lincolnshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_Lincolnshire&r1d1=d14&r1d2=d22&r1d3=d33&r1d4=d43&r1d5=d51&r1d6=d61&r1d7=d73&r1d8=d83&r1d9=d93&r1d10=d104&r1d11=d14",84,52,108,64,81,129,150,66,79,90,35
York,E06000014,York,5,4,3,3,5,5,4,4,4,5,206856,42,York,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=York&r1d1=d15&r1d2=d24&r1d3=d33&r1d4=d43&r1d5=d55&r1d6=d65&r1d7=d74&r1d8=d84&r1d9=d94&r1d10=d105&r1d11=d15",17,13,34,67,90,30,29,46,42,61,15
North Yorkshire,E10000023,North Yorkshire,2,4,3,4,5,1,5,5,5,4,602277,38,North_Yorkshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_Yorkshire&r1d1=d12&r1d2=d24&r1d3=d33&r1d4=d44&r1d5=d55&r1d6=d61&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d104&r1d11=d12",29,114,54,62,48,17,147,6,15,20,48
Barnsley,E08000016,Barnsley,4,1,2,2,2,4,3,3,2,2,239319,25,Barnsley,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Barnsley&r1d1=d14&r1d2=d21&r1d3=d32&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d73&r1d8=d83&r1d9=d92&r1d10=d102&r1d11=d14",101,60,142,107,95,99,41,86,76,119,102
Doncaster,E08000017,Doncaster,2,1,1,2,1,3,3,5,1,3,304813,22,Doncaster,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Doncaster&r1d1=d12&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d51&r1d6=d63&r1d7=d73&r1d8=d85&r1d9=d91&r1d10=d103&r1d11=d12",118,104,131,144,109,134,66,80,19,131,69
Rotherham,E08000018,Rotherham,3,1,1,2,2,3,3,2,3,2,260786,22,Rotherham,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Rotherham&r1d1=d13&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d52&r1d6=d63&r1d7=d73&r1d8=d82&r1d9=d93&r1d10=d102&r1d11=d13",118,74,130,128,111,117,76,89,108,73,104
Sheffield,E08000019,Sheffield,5,2,2,1,3,2,2,2,4,3,569737,26,Sheffield,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sheffield&r1d1=d15&r1d2=d22&r1d3=d32&r1d4=d41&r1d5=d53&r1d6=d62&r1d7=d72&r1d8=d82&r1d9=d94&r1d10=d103&r1d11=d15",94,22,95,111,123,90,103,105,102,56,82
Bradford,E08000032,Bradford,1,1,2,2,2,4,2,2,1,3,531176,20,Bradford,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bradford&r1d1=d11&r1d2=d21&r1d3=d32&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d103&r1d11=d11",133,131,127,122,106,94,43,121,115,126,88
Calderdale,E08000033,Calderdale,2,2,2,2,1,4,3,2,3,4,208402,25,Calderdale,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Calderdale&r1d1=d12&r1d2=d22&r1d3=d32&r1d4=d42&r1d5=d51&r1d6=d64&r1d7=d73&r1d8=d82&r1d9=d93&r1d10=d104&r1d11=d12",101,115,96,93,93,136,32,68,93,91,51
Kirklees,E08000034,Kirklees,4,2,3,2,2,2,3,3,3,3,434321,27,Kirklees,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Kirklees&r1d1=d14&r1d2=d22&r1d3=d33&r1d4=d42&r1d5=d52&r1d6=d62&r1d7=d73&r1d8=d83&r1d9=d93&r1d10=d103&r1d11=d14",84,48,99,86,116,101,106,67,71,67,71
