LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
Bristol PUA,PUA0BRIS,"Bristol, United Kingdom",2,5,4,2,5,5,4,2,4,4,723989,37,Bristol_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bristol_PUA&r1d1=d12&r1d2=d25&r1d3=d34&r1d4=d42&r1d5=d55&r1d6=d65&r1d7=d74&r1d8=d82&r1d9=d94&r1d10=d104&r1d11=d12",11,46,12,16,42,7,9,18,44,15,13
Burnley PUA,PUA0BURN,"Burnley, United Kingdom",3,1,2,3,1,2,2,2,1,1,177482,18,Burnley_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Burnley_PUA&r1d1=d13&r1d2=d21&r1d3=d32&r1d4=d43&r1d5=d51&r1d6=d62&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d13",60,27,59,40,34,54,51,49,51,61,60
Cambridge PUA,PUA0CAMB,"Cambridge, United Kingdom",2,5,5,5,5,5,5,1,3,5,130907,41,Cambridge_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cambridge_PUA&r1d1=d12&r1d2=d25&r1d3=d35&r1d4=d45&r1d5=d55&r1d6=d65&r1d7=d75&r1d8=d81&r1d9=d93&r1d10=d105&r1d11=d12",6,45,2,3,7,10,8,8,63,35,9
Chatham PUA,PUA0CHAT,"Chatham, United Kingdom",4,3,3,1,5,5,3,2,2,5,276492,33,Chatham_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Chatham_PUA&r1d1=d14&r1d2=d23&r1d3=d33&r1d4=d41&r1d5=d55&r1d6=d65&r1d7=d73&r1d8=d82&r1d9=d92&r1d10=d105&r1d11=d14",21,17,37,33,61,11,3,32,47,48,4
Coventry PUA,PUA0COVE,"Coventry, United Kingdom",1,3,4,2,2,2,1,3,2,1,345385,21,Coventry_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Coventry_PUA&r1d1=d11&r1d2=d23&r1d3=d34&r1d4=d42&r1d5=d52&r1d6=d62&r1d7=d71&r1d8=d83&r1d9=d92&r1d10=d101&r1d11=d11",51,54,34,24,45,47,39,58,37,40,55
Crawley PUA,PUA0CRAW,"Crawley, United Kingdom",5,4,3,3,5,1,4,5,3,2,110864,35,Crawley_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Crawley_PUA&r1d1=d15&r1d2=d24&r1d3=d33&r1d4=d43&r1d5=d55&r1d6=d61&r1d7=d74&r1d8=d85&r1d9=d93&r1d10=d102&r1d11=d15",14,6,21,32,30,9,52,13,8,32,50
Derby PUA,PUA0DERB,"Derby, United Kingdom",1,2,1,1,1,2,2,2,2,3,254251,17,Derby_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Derby_PUA&r1d1=d11&r1d2=d22&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d72&r1d8=d82&r1d9=d92&r1d10=d103&r1d11=d11",62,61,39,52,55,56,48,48,48,51,28
Doncaster PUA,PUA0DONC,"Doncaster, United Kingdom",2,3,1,2,1,1,2,5,1,3,304813,21,Doncaster_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Doncaster_PUA&r1d1=d12&r1d2=d23&r1d3=d31&r1d4=d42&r1d5=d51&r1d6=d61&r1d7=d72&r1d8=d85&r1d9=d91&r1d10=d103&r1d11=d12",51,42,38,60,43,58,58,39,3,55,29
Exeter PUA,PUA0EXET,"Exeter, United Kingdom",4,4,4,5,5,4,5,5,5,5,127308,46,Exeter_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Exeter_PUA&r1d1=d14&r1d2=d24&r1d3=d34&r1d4=d45&r1d5=d55&r1d6=d64&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d105&r1d11=d14",2,20,18,23,11,1,15,3,4,1,10
Gloucester PUA,PUA0GLOU,"Gloucester, United Kingdom",1,3,3,5,4,4,5,4,3,1,127158,33,Gloucester_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Gloucester_PUA&r1d1=d11&r1d2=d23&r1d3=d33&r1d4=d45&r1d5=d54&r1d6=d64&r1d7=d75&r1d8=d84&r1d9=d93&r1d10=d101&r1d11=d11",21,62,32,29,6,17,14,7,18,26,61
Huddersfield PUA,PUA0HUDD,"Huddersfield, United Kingdom",4,3,3,2,2,1,4,4,4,3,434321,30,Huddersfield_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Huddersfield_PUA&r1d1=d14&r1d2=d23&r1d3=d33&r1d4=d42&r1d5=d52&r1d6=d61&r1d7=d74&r1d8=d84&r1d9=d94&r1d10=d103&r1d11=d14",34,19,36,28,47,41,57,25,24,25,32
Hull PUA,PUA0HULL,"Hull, United Kingdom",1,1,1,1,1,5,1,1,1,1,258995,14,Hull_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Hull_PUA&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d65&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d11",63,58,63,63,60,59,7,62,57,58,54
Ipswich PUA,PUA0IPSW,"Ipswich, United Kingdom",2,2,2,1,4,5,3,1,3,1,135600,24,Ipswich_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Ipswich_PUA&r1d1=d12&r1d2=d22&r1d3=d32&r1d4=d41&r1d5=d54&r1d6=d65&r1d7=d73&r1d8=d81&r1d9=d93&r1d10=d101&r1d11=d12",47,48,46,41,54,16,6,37,59,31,57
Leeds PUA,PUA0LEED,"Leeds, United Kingdom",4,3,1,1,2,2,2,4,2,3,774060,24,Leeds_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Leeds_PUA&r1d1=d14&r1d2=d23&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d62&r1d7=d72&r1d8=d84&r1d9=d92&r1d10=d103&r1d11=d14",47,16,29,54,59,45,46,41,15,39,38
Leicester PUA,PUA0LEIC,"Leicester, United Kingdom",5,3,5,1,4,5,1,3,1,5,495004,33,Leicester_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Leicester_PUA&r1d1=d15&r1d2=d23&r1d3=d35&r1d4=d41&r1d5=d54&r1d6=d65&r1d7=d71&r1d8=d83&r1d9=d91&r1d10=d105&r1d11=d15",21,9,27,11,52,20,11,55,38,57,6
Liverpool PUA,PUA0LIVE,"Liverpool, United Kingdom",5,1,2,1,3,2,1,1,2,1,625811,19,Liverpool_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Liverpool_PUA&r1d1=d15&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d53&r1d6=d62&r1d7=d71&r1d8=d81&r1d9=d92&r1d10=d101&r1d11=d15",57,3,57,45,62,36,44,63,60,49,53
London PUA,PUA0LOND,"London, United Kingdom",2,5,4,5,4,3,1,2,3,2,9895991,31,London_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=London_PUA&r1d1=d12&r1d2=d25&r1d3=d34&r1d4=d45&r1d5=d54&r1d6=d63&r1d7=d71&r1d8=d82&r1d9=d93&r1d10=d102&r1d11=d12",28,49,1,17,3,13,29,61,40,28,48
Luton PUA,PUA0LUTO,"Luton, United Kingdom",5,4,4,2,1,5,2,4,1,5,214710,33,Luton_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Luton_PUA&r1d1=d15&r1d2=d24&r1d3=d34&r1d4=d42&r1d5=d51&r1d6=d65&r1d7=d72&r1d8=d84&r1d9=d91&r1d10=d105&r1d11=d15",21,2,16,13,48,60,12,51,25,62,11
Manchester PUA,PUA0MANC,"Manchester, United Kingdom",2,3,3,2,2,4,1,2,1,1,2434140,21,Manchester_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Manchester_PUA&r1d1=d12&r1d2=d23&r1d3=d33&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d12",51,47,26,35,39,48,17,57,49,53,52
Mansfield PUA,PUA0MANS,"Mansfield, United Kingdom",3,1,3,5,2,1,4,5,3,4,230130,31,Mansfield_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Mansfield_PUA&r1d1=d13&r1d2=d21&r1d3=d33&r1d4=d45&r1d5=d52&r1d6=d61&r1d7=d74&r1d8=d85&r1d9=d93&r1d10=d104&r1d11=d13",28,36,60,27,2,50,60,19,9,36,19
Middlesbrough PUA,PUA0MIDD,"Middlesbrough, United Kingdom",4,1,2,1,1,1,2,4,2,4,469587,22,Middlesbrough_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Middlesbrough_PUA&r1d1=d14&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d61&r1d7=d72&r1d8=d84&r1d9=d92&r1d10=d104&r1d11=d14",50,18,53,48,58,63,63,50,17,47,18
Milton Keynes PUA,PUA0MILT,"Milton Keynes, United Kingdom",1,5,3,5,3,5,4,3,3,3,261762,35,Milton_Keynes_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Milton_Keynes_PUA&r1d1=d11&r1d2=d25&r1d3=d33&r1d4=d45&r1d5=d53&r1d6=d65&r1d7=d74&r1d8=d83&r1d9=d93&r1d10=d103&r1d11=d11",14,59,7,30,12,32,10,24,36,38,35
Newcastle PUA,PUA0NEWC,"Newcastle, United Kingdom",5,2,1,3,2,3,1,1,5,2,644048,25,Newcastle_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Newcastle_PUA&r1d1=d15&r1d2=d22&r1d3=d31&r1d4=d43&r1d5=d52&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d95&r1d10=d102&r1d11=d15",45,7,44,56,35,46,31,56,54,10,44
Northampton PUA,PUA0NORT,"Northampton, United Kingdom",1,5,1,2,2,4,4,4,2,4,222462,29,Northampton_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Northampton_PUA&r1d1=d11&r1d2=d25&r1d3=d31&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d74&r1d8=d84&r1d9=d92&r1d10=d104&r1d11=d11",37,60,8,53,46,43,21,20,23,46,15
Norwich PUA,PUA0NORW,"Norwich, United Kingdom",4,3,4,3,5,3,3,4,5,4,265500,38,Norwich_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Norwich_PUA&r1d1=d14&r1d2=d23&r1d3=d34&r1d4=d43&r1d5=d55&r1d6=d63&r1d7=d73&r1d8=d84&r1d9=d95&r1d10=d104&r1d11=d14",9,23,30,25,36,3,28,26,19,8,14
Nottingham PUA,PUA0NOTT,"Nottingham, United Kingdom",5,2,2,3,3,2,2,5,2,5,661553,31,Nottingham_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Nottingham_PUA&r1d1=d15&r1d2=d22&r1d3=d32&r1d4=d43&r1d5=d53&r1d6=d62&r1d7=d72&r1d8=d85&r1d9=d92&r1d10=d105&r1d11=d15",28,11,40,44,38,34,45,43,10,42,1
Oxford PUA,PUA0OXFO,"Oxford, United Kingdom",5,5,5,4,5,5,4,5,5,5,159574,48,Oxford_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Oxford_PUA&r1d1=d15&r1d2=d25&r1d3=d35&r1d4=d44&r1d5=d55&r1d6=d65&r1d7=d74&r1d8=d85&r1d9=d95&r1d10=d105&r1d11=d15",1,4,5,6,14,2,5,17,6,2,7
Peterborough PUA,PUA0PETE,"Peterborough, United Kingdom",1,3,1,1,3,4,3,3,3,3,193980,25,Peterborough_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Peterborough_PUA&r1d1=d11&r1d2=d23&r1d3=d31&r1d4=d41&r1d5=d53&r1d6=d64&r1d7=d73&r1d8=d83&r1d9=d93&r1d10=d103&r1d11=d11",45,63,33,55,57,27,19,38,30,37,34
Plymouth PUA,PUA0PLYM,"Plymouth, United Kingdom",4,2,2,1,5,4,4,4,2,2,262712,30,Plymouth_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Plymouth_PUA&r1d1=d14&r1d2=d22&r1d3=d32&r1d4=d41&r1d5=d55&r1d6=d64&r1d7=d74&r1d8=d84&r1d9=d92&r1d10=d102&r1d11=d14",34,15,51,47,53,4,16,22,14,43,40
Portsmouth PUA,PUA0PORT,"Portsmouth, United Kingdom",2,3,3,5,4,2,5,5,5,1,534156,35,Portsmouth_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Portsmouth_PUA&r1d1=d12&r1d2=d23&r1d3=d33&r1d4=d45&r1d5=d54&r1d6=d62&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d101&r1d11=d12",14,43,28,38,10,21,41,12,2,12,56
Preston PUA,PUA0PRES,"Preston, United Kingdom",4,3,3,3,1,2,5,2,3,5,363922,31,Preston_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Preston_PUA&r1d1=d14&r1d2=d23&r1d3=d33&r1d4=d43&r1d5=d51&r1d6=d62&r1d7=d75&r1d8=d82&r1d9=d93&r1d10=d105&r1d11=d14",28,14,31,26,33,52,42,11,46,27,12
Reading PUA,PUA0READ,"Reading, United Kingdom",1,5,5,5,4,2,5,5,5,3,322148,40,Reading_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Reading_PUA&r1d1=d11&r1d2=d25&r1d3=d35&r1d4=d45&r1d5=d54&r1d6=d62&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d103&r1d11=d11",7,53,3,8,5,18,43,4,12,4,33
Southend PUA,PUA0SEND,"Southend, United Kingdom",5,4,5,5,1,5,3,5,4,2,353019,39,Southend_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Southend_PUA&r1d1=d15&r1d2=d24&r1d3=d35&r1d4=d45&r1d5=d51&r1d6=d65&r1d7=d73&r1d8=d85&r1d9=d94&r1d10=d102&r1d11=d15",8,10,25,5,9,57,1,27,1,14,51
Sheffield PUA,PUA0SHEF,"Sheffield, United Kingdom",5,2,2,2,3,1,2,2,5,2,830523,26,Sheffield_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sheffield_PUA&r1d1=d15&r1d2=d22&r1d3=d32&r1d4=d42&r1d5=d53&r1d6=d61&r1d7=d72&r1d8=d82&r1d9=d95&r1d10=d102&r1d11=d15",42,8,42,46,49,38,53,47,39,11,39
Slough PUA,PUA0SLOU,"Slough, United Kingdom",2,5,2,5,5,2,1,1,1,2,145734,26,Slough_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Slough_PUA&r1d1=d12&r1d2=d25&r1d3=d32&r1d4=d45&r1d5=d55&r1d6=d62&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d102&r1d11=d12",42,44,4,43,8,6,47,54,58,63,45
Southampton PUA,PUA0SOTO,"Southampton, United Kingdom",4,4,2,4,5,4,4,3,2,2,378564,34,Southampton_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Southampton_PUA&r1d1=d14&r1d2=d24&r1d3=d32&r1d4=d44&r1d5=d55&r1d6=d64&r1d7=d74&r1d8=d83&r1d9=d92&r1d10=d102&r1d11=d14",19,21,17,50,13,12,22,16,27,44,43
