LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
"Southampton, United Kingdom",GG0SOUT,"Southampton, United Kingdom",3,4,1,3,5,4,3,3,2,2,249537,30,Southampton_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Southampton_TTWA&r1d1=d13&r1d2=d24&r1d3=d31&r1d4=d43&r1d5=d55&r1d6=d64&r1d7=d73&r1d8=d83&r1d9=d92&r1d10=d102&r1d11=d13",23,24,16,37,23,5,14,21,18,34,30
"Reading, United Kingdom",GG0READ,"Reading, United Kingdom",1,5,4,5,4,4,5,4,5,4,280721,41,Reading_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Reading_TTWA&r1d1=d11&r1d2=d25&r1d3=d34&r1d4=d45&r1d5=d54&r1d6=d64&r1d7=d75&r1d8=d84&r1d9=d95&r1d10=d104&r1d11=d11",3,40,5,15,8,10,16,7,11,2,10
"Aberdeen, United Kingdom",GG0ABER,"Aberdeen, United Kingdom",3,4,4,4,4,1,3,5,4,3,492310,35,Aberdeen_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Aberdeen_TTWA&r1d1=d13&r1d2=d24&r1d3=d34&r1d4=d44&r1d5=d54&r1d6=d61&r1d7=d73&r1d8=d85&r1d9=d94&r1d10=d103&r1d11=d13",9,22,10,13,16,17,39,18,5,15,20
"Belfast, United Kingdom",GG0BELF,"Belfast, United Kingdom",3,4,4,4,4,1,4,2,4,3,479112,33,Belfast_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Belfast_TTWA&r1d1=d13&r1d2=d24&r1d3=d34&r1d4=d44&r1d5=d54&r1d6=d61&r1d7=d74&r1d8=d82&r1d9=d94&r1d10=d103&r1d11=d13",15,22,12,13,16,12,40,16,33,15,20
"Cardiff, United Kingdom",GG0CARD,"Cardiff, United Kingdom",3,4,3,4,4,4,4,4,4,3,357160,37,Cardiff_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cardiff_TTWA&r1d1=d13&r1d2=d24&r1d3=d33&r1d4=d44&r1d5=d54&r1d6=d64&r1d7=d74&r1d8=d84&r1d9=d94&r1d10=d103&r1d11=d13",7,22,15,22,16,13,12,17,17,15,20
"Derby, United Kingdom",GG0DERB,"Derby, United Kingdom",2,3,5,3,2,1,4,5,3,5,592149,33,Derby_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Derby_TTWA&r1d1=d12&r1d2=d23&r1d3=d35&r1d4=d43&r1d5=d52&r1d6=d61&r1d7=d74&r1d8=d85&r1d9=d93&r1d10=d105&r1d11=d12",15,33,20,6,21,28,35,11,4,22,8
"Doncaster, United Kingdom",GG0DONC,"Doncaster, United Kingdom",2,2,1,3,1,1,3,5,1,3,304813,22,Doncaster_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Doncaster_TTWA&r1d1=d12&r1d2=d22&r1d3=d31&r1d4=d43&r1d5=d51&r1d6=d61&r1d7=d73&r1d8=d85&r1d9=d91&r1d10=d103&r1d11=d12",35,27,28,39,25,37,37,19,1,35,21
"Edinburgh, United Kingdom",GG0EDIN,"Edinburgh, United Kingdom",3,4,4,4,4,3,4,4,4,3,764750,37,Edinburgh_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Edinburgh_TTWA&r1d1=d13&r1d2=d24&r1d3=d34&r1d4=d44&r1d5=d54&r1d6=d63&r1d7=d74&r1d8=d84&r1d9=d94&r1d10=d103&r1d11=d13",7,19,9,13,16,15,25,13,16,15,20
"Glasgow, United Kingdom",GG0GLAS,"Glasgow, United Kingdom",3,2,4,4,3,3,4,2,4,3,1408650,32,Glasgow_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Glasgow_TTWA&r1d1=d13&r1d2=d22&r1d3=d34&r1d4=d44&r1d5=d53&r1d6=d63&r1d7=d74&r1d8=d82&r1d9=d94&r1d10=d103&r1d11=d13",20,23,29,13,11,21,22,12,27,10,20
"Swansea, United Kingdom",GG0SWAN,"Swansea, United Kingdom",3,1,5,4,4,1,5,4,4,3,383374,34,Swansea_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Swansea_TTWA&r1d1=d13&r1d2=d21&r1d3=d35&r1d4=d44&r1d5=d54&r1d6=d61&r1d7=d75&r1d8=d84&r1d9=d94&r1d10=d103&r1d11=d13",12,19,39,7,16,16,42,8,13,15,20
"Wolverhampton and Walsall, United Kingdom",GG0WOLV,"Wolverhampton, United Kingdom",2,2,3,4,2,4,2,2,1,1,641227,23,Wolverhampton_and_Walsall_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Wolverhampton_and_Walsall_TTWA&r1d1=d12&r1d2=d22&r1d3=d33&r1d4=d44&r1d5=d52&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d12",31,29,34,18,17,30,13,28,32,36,39
"London, United Kingdom",GG0LOND,"City of London, United Kingdom",2,5,4,5,5,3,1,3,4,2,9895991,34,London_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=London_TTWA&r1d1=d12&r1d2=d25&r1d3=d34&r1d4=d45&r1d5=d55&r1d6=d63&r1d7=d71&r1d8=d83&r1d9=d94&r1d10=d102&r1d11=d12",12,30,2,9,1,8,18,36,23,17,32
