LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
Bolton,E08000001,Bolton,1,2,2,2,1,4,2,2,2,2,281619,20,Bolton,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bolton&r1d1=d11&r1d2=d22&r1d3=d32&r1d4=d42&r1d5=d51&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d11",190,187,163,147,169,208,75,166,150,167,171
Bury,E08000002,Bury,2,3,4,4,1,5,4,2,2,1,187884,28,Bury,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bury&r1d1=d12&r1d2=d23&r1d3=d34&r1d4=d44&r1d5=d51&r1d6=d65&r1d7=d74&r1d8=d82&r1d9=d92&r1d10=d101&r1d11=d12",94,172,118,67,59,184,18,62,159,170,192
Manchester,E08000003,Manchester,1,2,1,1,2,3,1,1,1,1,530292,14,Manchester,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Manchester&r1d1=d11&r1d2=d22&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d11",213,201,135,205,202,154,115,213,212,216,204
Oldham,E08000004,Oldham,2,1,2,1,1,4,2,1,1,1,230823,16,Oldham,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Oldham&r1d1=d12&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d64&r1d7=d72&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d12",205,153,177,149,175,213,65,172,201,199,197
Rochdale,E08000005,Rochdale,1,1,1,2,1,4,1,2,1,1,214195,15,Rochdale,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Rochdale&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d51&r1d6=d64&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d11",211,200,191,198,166,178,63,181,164,198,210
Salford,E08000006,Salford,4,2,2,1,1,4,1,1,1,1,245614,18,Salford,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Salford&r1d1=d14&r1d2=d22&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d64&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d14",196,70,173,167,216,197,47,179,189,189,212
Stockport,E08000007,Stockport,5,3,4,2,1,5,4,3,4,4,288733,35,Stockport,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Stockport&r1d1=d15&r1d2=d23&r1d3=d34&r1d4=d42&r1d5=d51&r1d6=d65&r1d7=d74&r1d8=d83&r1d9=d94&r1d10=d104&r1d11=d15",49,18,101,61,142,181,1,54,128,45,54
Tameside,E08000008,Tameside,4,1,2,4,1,5,2,2,1,1,221692,23,Tameside,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Tameside&r1d1=d14&r1d2=d21&r1d3=d32&r1d4=d44&r1d5=d51&r1d6=d65&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d14",160,63,184,163,53,209,9,163,170,212,206
Trafford,E08000009,Trafford,4,5,5,5,2,5,4,5,4,5,233288,44,Trafford,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Trafford&r1d1=d14&r1d2=d25&r1d3=d35&r1d4=d45&r1d5=d52&r1d6=d65&r1d7=d74&r1d8=d85&r1d9=d94&r1d10=d105&r1d11=d14",10,68,33,11,18,169,6,80,29,51,37
Wigan,E08000010,Wigan,4,2,4,2,1,5,3,4,1,1,322022,27,Wigan,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Wigan&r1d1=d14&r1d2=d22&r1d3=d34&r1d4=d42&r1d5=d51&r1d6=d65&r1d7=d73&r1d8=d84&r1d9=d91&r1d10=d101&r1d11=d14",112,69,158,81,149,211,39,112,45,195,198
Lancashire,E10000017,Lancashire,2,3,3,2,1,1,4,2,2,2,1191691,22,Lancashire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Lancashire&r1d1=d12&r1d2=d23&r1d3=d33&r1d4=d42&r1d5=d51&r1d6=d61&r1d7=d74&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d12",174,161,126,127,162,189,196,71,155,148,132
Knowsley,E08000011,Knowsley,1,1,2,1,4,3,1,1,1,2,147231,17,Knowsley,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Knowsley&r1d1=d11&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d54&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d102&r1d11=d11",197,182,215,144,217,68,129,205,191,176,170
Liverpool,E08000012,Liverpool,5,1,1,1,2,2,1,1,1,1,478580,16,Liverpool,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Liverpool&r1d1=d15&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d62&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d15",205,4,199,186,211,168,141,207,207,186,183
Sefton,E08000014,Sefton,2,2,4,2,1,3,3,2,2,2,273707,23,Sefton,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sefton&r1d1=d12&r1d2=d22&r1d3=d34&r1d4=d42&r1d5=d51&r1d6=d63&r1d7=d73&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d12",160,138,166,58,170,212,89,118,167,160,154
St. Helens,E08000013,St. Helens,2,1,2,1,1,3,2,1,2,1,177612,16,St_Helens,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=St_Helens&r1d1=d12&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d72&r1d8=d81&r1d9=d92&r1d10=d101&r1d11=d12",205,160,189,155,203,202,122,164,184,174,175
Wirral,E08000015,Wirral,5,1,4,2,1,4,2,2,2,2,320900,25,Wirral,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Wirral&r1d1=d15&r1d2=d21&r1d3=d34&r1d4=d42&r1d5=d51&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d15",143,2,176,50,154,192,87,156,162,142,135
East Riding of Yorkshire,E06000011,East Riding of Yorkshire,2,4,5,4,5,5,5,5,4,5,336685,44,East_Riding_of_Yorkshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=East_Riding_of_Yorkshire&r1d1=d12&r1d2=d24&r1d3=d35&r1d4=d44&r1d5=d55&r1d6=d65&r1d7=d75&r1d8=d85&r1d9=d94&r1d10=d105&r1d11=d12",10,146,81,15,50,34,4,22,28,57,30
"Kingston upon Hull, City of",E06000010,"Kingston upon Hull, City of",1,1,1,1,1,5,1,1,1,1,258995,14,Kingston_upon_Hull,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Kingston_upon_Hull&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d65&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d11",213,194,212,214,207,203,15,198,197,202,185
North East Lincolnshire,E06000012,North East Lincolnshire,1,1,1,1,1,2,1,3,1,1,159570,13,North_East_Lincolnshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_East_Lincolnshire&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d71&r1d8=d83&r1d9=d91&r1d10=d101&r1d11=d11",215,190,190,210,213,214,170,178,88,183,178
North Lincolnshire,E06000013,North Lincolnshire,4,2,4,2,1,1,3,3,2,5,169820,27,North_Lincolnshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_Lincolnshire&r1d1=d14&r1d2=d22&r1d3=d34&r1d4=d42&r1d5=d51&r1d6=d61&r1d7=d73&r1d8=d83&r1d9=d92&r1d10=d105&r1d11=d14",112,51,153,75,146,194,212,96,122,154,35
York,E06000014,York,5,5,4,2,5,5,4,4,4,5,206856,43,York,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=York&r1d1=d15&r1d2=d25&r1d3=d34&r1d4=d42&r1d5=d55&r1d6=d65&r1d7=d74&r1d8=d84&r1d9=d94&r1d10=d105&r1d11=d15",16,13,39,78,155,30,33,48,65,61,15
North Yorkshire,E10000023,North Yorkshire,1,4,4,4,5,1,5,5,5,4,602277,38,North_Yorkshire,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_Yorkshire&r1d1=d11&r1d2=d24&r1d3=d34&r1d4=d44&r1d5=d55&r1d6=d61&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d104&r1d11=d11",32,177,62,72,48,17,211,6,34,20,48
Barnsley,E08000016,Barnsley,4,1,2,2,2,4,2,3,1,2,239319,23,Barnsley,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Barnsley&r1d1=d14&r1d2=d21&r1d3=d32&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d72&r1d8=d83&r1d9=d91&r1d10=d102&r1d11=d14",160,60,202,168,160,164,45,150,119,184,167
Doncaster,E08000017,Doncaster,2,1,1,2,1,4,2,5,1,2,304813,21,Doncaster,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Doncaster&r1d1=d12&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d51&r1d6=d64&r1d7=d72&r1d8=d85&r1d9=d91&r1d10=d102&r1d11=d12",183,169,187,209,174,199,86,140,40,196,134
Rotherham,E08000018,Rotherham,2,1,1,1,1,3,2,2,2,2,260786,17,Rotherham,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Rotherham&r1d1=d12&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d72&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d12",197,139,186,192,176,182,106,153,160,140,169
Sheffield,E08000019,Sheffield,5,2,2,1,2,2,2,2,4,2,569737,24,Sheffield,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sheffield&r1d1=d15&r1d2=d22&r1d3=d32&r1d4=d41&r1d5=d52&r1d6=d62&r1d7=d72&r1d8=d82&r1d9=d94&r1d10=d102&r1d11=d15",148,22,131,172,188,156,150,170,153,56,147
Bradford,E08000032,Bradford,1,1,1,2,2,4,1,2,1,2,531176,17,Bradford,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bradford&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d52&r1d6=d64&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d102&r1d11=d11",197,196,180,185,171,159,48,186,168,192,153
Calderdale,E08000033,Calderdale,1,2,2,2,1,5,3,2,2,4,208402,24,Calderdale,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Calderdale&r1d1=d11&r1d2=d22&r1d3=d32&r1d4=d42&r1d5=d51&r1d6=d65&r1d7=d73&r1d8=d82&r1d9=d92&r1d10=d104&r1d11=d11",148,180,132,151,158,201,34,99,142,155,51
Kirklees,E08000034,Kirklees,4,2,2,1,2,2,3,3,2,2,434321,23,Kirklees,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Kirklees&r1d1=d14&r1d2=d22&r1d3=d32&r1d4=d41&r1d5=d52&r1d6=d62&r1d7=d73&r1d8=d83&r1d9=d92&r1d10=d102&r1d11=d14",160,48,138,145,182,166,156,98,111,133,136
